home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-opposition-shots,home-shots-on-target,home-opposition-shots-on-target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-opposition-shots,away-shots-on-target,away-opposition-shots-on-target,result,odds-home,odds-draw,odds-away
4,2,4,12,11,148,128,38,26,5,2,3,17,11,95,155,42,39,1,2.5,3.3,3.1
2,2,6,9,14,124,117,32,38,4,3,3,17,13,132,97,42,36,0,5.0,4.0,1.75
5,2,3,18,16,166,98,56,42,2,4,4,14,18,93,175,34,52,0,1.44,4.75,8.0
6,2,2,21,6,138,89,60,27,5,2,3,14,11,148,125,38,27,1,1.65,4.0,6.0
2,5,3,11,18,119,129,33,49,4,5,1,16,11,155,79,51,34,2,5.5,3.8,1.73
2,3,5,11,15,121,124,33,41,2,4,4,16,19,108,154,43,49,0,1.91,3.6,4.5
5,1,4,17,13,137,134,46,46,7,2,1,24,8,182,94,64,26,1,6.5,4.5,1.55
1,4,5,9,17,123,142,43,52,3,3,4,20,19,122,136,47,41,2,4.75,3.75,1.83
4,4,2,19,14,137,97,47,37,8,2,0,25,9,172,99,59,31,0,2.88,3.6,2.5
4,2,4,13,13,115,127,41,48,2,4,4,12,16,149,113,38,40,2,1.75,3.9,5.0
1,1,8,7,21,129,154,36,72,3,1,6,4,19,70,148,14,49,1,2.38,3.25,3.4
4,5,1,17,11,155,79,52,36,1,4,5,9,18,125,144,39,54,1,1.25,6.5,14.0
8,2,0,26,10,158,112,59,35,2,1,7,8,19,132,159,37,71,1,1.17,8.5,21.0
4,3,3,21,17,128,132,49,38,5,2,3,16,11,92,152,39,39,0,1.75,3.8,5.25
2,5,3,13,15,97,174,35,49,6,2,2,21,6,140,85,58,25,2,3.8,3.6,2.05
2,4,4,11,17,135,114,34,39,5,2,3,15,13,157,94,51,39,1,3.8,3.75,2.0
4,2,4,10,11,133,135,31,27,5,1,4,17,14,129,143,42,48,0,2.38,3.4,3.25
3,1,6,4,17,80,141,20,44,4,2,4,14,13,120,115,40,42,2,3.75,3.6,2.1
6,2,2,21,10,185,101,60,30,3,5,2,17,14,138,104,47,39,1,1.91,3.75,4.33
2,4,4,15,18,106,145,43,44,1,5,4,9,20,120,131,32,51,2,2.1,3.5,3.8
0,4,6,5,19,115,160,29,56,2,5,3,13,14,93,173,33,48,1,2.5,3.4,3.0
4,2,4,13,13,150,100,49,40,8,2,0,26,10,148,109,60,32,2,3.4,3.4,2.3
3,4,3,16,14,139,105,47,39,2,3,5,14,19,100,138,38,46,1,1.3,6.0,11.0
2,1,7,9,20,129,150,35,59,6,2,2,20,10,173,107,59,32,0,7.0,4.75,1.5
7,1,2,21,5,135,85,55,24,2,3,5,11,16,101,164,34,50,1,1.44,4.75,8.0
5,2,3,19,14,136,136,44,47,3,1,6,5,16,88,147,20,45,0,1.75,3.75,5.5
2,5,3,11,18,108,132,35,48,3,4,3,19,17,134,128,48,35,0,4.0,3.5,2.05
4,3,3,13,10,92,149,35,38,4,5,1,18,11,173,74,57,33,1,3.75,3.5,2.1
4,2,4,13,14,126,123,41,42,3,3,4,10,12,139,128,33,25,2,1.7,4.0,5.5
3,4,3,13,13,116,121,33,44,3,4,3,11,15,141,107,35,37,2,2.3,3.5,3.3
3,5,2,17,12,171,81,55,36,4,4,2,16,12,148,106,47,36,2,2.15,3.6,3.5
8,2,0,25,10,152,112,62,34,3,3,4,11,13,116,122,30,45,1,1.25,6.5,15.0
3,4,3,18,16,137,127,52,35,5,3,2,19,13,139,138,45,47,1,1.85,3.8,4.5
2,2,6,9,16,95,169,31,53,2,5,3,10,17,111,138,36,50,0,2.1,3.5,3.8
5,3,2,20,12,183,112,60,36,4,3,3,13,10,98,147,36,37,1,1.4,5.25,8.5
4,4,2,13,13,137,104,38,34,2,2,6,11,21,127,162,33,61,1,1.83,3.75,4.75
4,3,3,12,12,138,135,35,27,1,4,5,5,16,120,161,30,54,2,1.7,3.8,5.75
2,3,5,13,18,102,147,37,45,3,2,5,12,14,150,103,48,39,1,4.33,3.7,1.91
1,5,4,12,15,94,168,30,45,3,2,5,13,16,130,116,41,42,2,3.6,3.4,2.2
2,2,6,4,16,93,156,22,48,8,1,1,22,3,141,78,55,19,0,5.25,3.75,1.75
2,4,4,7,16,113,176,33,53,2,2,6,5,17,91,160,23,48,0,2.15,3.4,3.75
3,2,5,12,14,151,109,46,40,4,2,4,12,13,144,131,36,29,1,1.73,4.0,5.0
5,3,2,17,12,150,118,46,42,1,4,5,12,16,95,172,30,48,1,1.33,5.75,10.0
2,2,6,11,18,131,158,36,62,2,3,5,9,14,102,152,31,48,1,2.38,3.4,3.25
2,5,3,9,16,110,141,38,51,8,2,0,25,10,146,111,60,31,0,9.0,5.0,1.4
3,3,4,13,12,96,158,34,46,3,3,4,15,16,108,142,38,38,0,1.8,3.75,5.0
3,2,5,11,15,113,135,29,51,3,4,3,16,12,181,85,61,36,2,4.5,3.8,1.85
4,3,3,17,14,136,143,40,47,5,3,2,14,13,140,108,40,38,1,2.15,3.5,3.6
8,1,1,23,4,148,77,57,18,5,3,2,19,12,197,109,66,36,2,3.2,3.6,2.3
3,2,5,11,17,135,117,42,43,4,3,3,18,15,143,128,54,35,1,2.25,3.6,3.25
2,4,4,8,17,115,187,34,58,5,2,3,11,11,129,108,37,34,0,2.8,3.3,2.75
3,3,4,13,14,107,142,36,38,1,3,6,4,17,98,162,26,49,2,2.1,3.4,4.0
2,2,6,10,16,112,160,33,48,3,2,5,10,14,150,115,41,43,2,3.8,3.6,2.05
6,2,2,20,12,155,113,50,41,3,2,5,11,14,150,131,38,30,1,1.45,4.5,8.5
2,4,4,11,13,99,153,30,49,2,2,6,13,20,145,161,37,61,1,1.73,3.8,5.5
