odds-home,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-opposition-shots,home-shots-on-target,home-opposition-shots-on-target,odds-draw,odds-away,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-opposition-shots,away-shots-on-target,away-opposition-shots-on-target,result
2.0,4,1,5,11,13,124,147,63,80,3.3,4.0,4,2,4,10,15,101,121,59,64,H
6.5,2,3,5,7,14,123,132,66,72,3.8,1.57,8,0,2,21,13,154,90,93,50,A
3.2,3,5,2,10,9,119,116,59,64,3.3,2.3,6,4,0,22,7,140,104,80,54,A
2.37,4,3,3,12,11,90,108,37,64,3.25,3.1,3,3,4,7,7,112,140,68,72,A
1.5,6,2,2,15,10,119,113,74,57,4.0,7.0,1,3,6,11,19,130,129,75,71,H
2.1,2,3,5,5,14,131,113,60,64,3.25,3.75,3,2,5,13,17,113,165,69,81,D
1.25,7,2,1,27,11,177,74,91,44,5.5,13.0,1,4,5,7,13,97,143,52,80,H
2.5,2,2,6,6,13,84,145,46,76,3.25,2.9,4,4,2,17,8,127,125,67,64,A
1.53,1,4,5,12,20,116,132,63,76,3.8,7.0,1,3,6,6,13,101,123,35,59,H
2.0,4,2,4,10,16,105,115,61,64,3.25,4.0,2,5,3,8,12,116,121,54,66,H
2.2,3,3,4,13,14,116,161,67,77,3.25,3.5,1,2,7,4,15,80,150,43,83,D
2.3,4,4,2,16,8,117,126,64,63,3.3,3.2,7,1,2,16,10,119,119,77,63,D
2.62,4,2,4,11,9,115,141,62,73,3.25,2.75,1,4,5,11,20,113,124,63,73,H
2.1,1,2,7,6,14,98,122,36,61,3.3,3.6,4,3,3,12,10,98,103,43,61,A
2.4,1,3,6,9,17,127,135,75,73,3.4,2.9,2,3,5,5,14,138,107,63,55,H
6.5,4,3,3,8,6,110,142,66,73,3.8,1.57,7,2,1,27,9,188,68,93,40,A
2.6,7,3,0,25,7,151,100,88,52,3.25,2.8,8,1,1,15,6,175,102,89,52,A
1.36,8,0,2,22,13,156,92,91,50,4.75,9.5,5,1,4,14,12,123,148,63,80,H
2.0,0,4,6,4,14,90,155,48,84,3.4,3.8,2,3,5,7,15,127,125,67,64,H
12.0,2,2,6,6,17,139,111,64,63,5.0,1.3,8,0,2,21,13,154,98,89,55,A
2.2,2,4,4,11,13,112,159,63,69,3.3,3.4,1,2,7,6,14,100,123,37,57,D
1.73,4,4,2,16,8,115,126,64,65,3.6,5.0,4,3,3,7,7,101,146,57,74,H
1.67,8,0,2,21,13,157,99,91,53,3.5,6.0,7,2,1,26,11,150,113,86,58,D
2.5,2,2,6,8,18,132,132,69,67,3.4,2.75,1,4,5,12,22,108,121,60,72,D
1.91,1,3,6,7,15,105,151,57,84,3.5,4.0,5,1,4,14,10,118,132,70,67,A
2.2,5,2,3,12,9,102,111,43,64,3.25,3.4,2,1,7,7,19,140,123,63,69,H
1.83,6,2,2,14,9,114,120,73,64,3.5,4.5,5,0,5,13,13,124,145,64,82,H
1.3,8,1,1,18,7,173,105,85,54,5.0,11.0,4,2,4,10,15,105,113,61,63,H
7.0,2,3,5,12,16,131,127,80,68,5.0,1.4,8,1,1,29,8,186,66,97,39,A
2.1,2,4,4,6,12,117,123,56,70,3.2,3.75,1,2,7,4,15,92,142,45,78,H
1.33,7,2,1,26,11,148,112,89,60,5.0,10.0,6,1,3,12,7,108,108,48,60,H
2.3,1,4,5,11,21,105,124,59,75,3.4,3.1,1,3,6,7,15,98,153,52,83,H
